1 11 4381
2 4397 5509
3 9911 3068
4 12984 2806
5 15795 3797
6 19597 2189
7 21791 4069
8 25865 13096
9 38966 2575
10 41546 1983
11 43534 3677
12 47216 3915
13 51136 3930
14 55071 1966
15 57042 5484
16 62531 6902
17 69438 2578
18 72021 4641
19 76667 6998
20 83670 1571
21 85246 2506
22 87757 2722
23 90484 845
24 91334 5403
25 96742 334
26 97081 911
27 97997 3610
28 101612 5912
29 107529 1309
30 108843 1453
31 110301 3727
32 114033 4657
33 118695 2453
34 121153 2271
35 123429 3839
36 127273 4105
37 131383 985
38 132373 3004
39 135382 1215
40 136602 1855
41 138462 2073
42 140540 3186
43 143731 7188
44 150924 8625
45 159554 4033
46 163592 4038
47 167635 4687
48 172327 3972
49 176304 4705
50 181014 1220
51 182239 4279
52 186523 2783
53 189311 1779
54 191095 1141
55 192241 4115
56 196361 3935
57 200301 2956
58 203262 1353
59 204620 3230
60 207855 7741
61 215601 19003
62 234609 2272
63 236886 3846
64 240737 1710
65 242452 4304
66 246761 5182
67 251948 8928
68 260881 3202
69 264088 13445
70 277538 3796
71 281339 6412
72 287756 8724
73 296485 5807
74 302297 2232
75 304534 5038
76 309577 1277
77 310859 3944
78 314808 6398
79 321211 1718
80 322934 3515
81 326454 2881
82 329340 6360
83 335705 5476
84 341186 1844
85 343035 6778
86 349818 3681
87 353504 10511
88 364020 7060
89 371085 4644
90 375734 3606
91 379345 6464
92 385814 9668
93 395487 1666
94 397158 2828
95 399991 2464
96 402460 4612
97 407077 8750
98 415832 1632
99 417469 4859
100 422333 6427
101 428765 3640
102 432410 6892
103 439307 10174
104 449486 2242
105 451733 3733
106 455471 2393
107 457869 3766
108 461640 3002
109 464647 3796
110 468448 1691
111 470144 10163
112 480312 2211
113 482528 5021
114 487554 2487
115 490046 1584
116 491635 7981
117 499621 6804
118 506430 4502
119 510937 9627
120 520569 6442
121 527016 5790
122 532811 2936
123 535752 5726
124 541483 10439
125 551927 4366
126 556298 6162
127 562465 4692
128 567162 2346
129 569513 3489
130 573007 8922
131 581934 1874
132 583813 5780
133 589598 4098
134 593701 4101
135 597807 2679
136 600491 429
137 600925 1927
138 602857 7408
139 610270 4488
140 614763 2502
141 617270 1817
142 619092 3150
143 622247 3586
144 625838 2857
145 628700 5269
146 633974 1247
147 635226 1238
148 636469 3179
149 639653 7653
150 647311 7672
151 654988 1258
152 656251 6069
153 662325 1762
154 664092 2400
